GraphID;Nodes;Average connectivity;Connectivity variance;Connectivity Standard dev;Edges;Hamiltonian;cost (Iterations);cost (milliseconds);cost (iterations / nodes);path;Connectivity map
0;16;0.125;0;0;[[0,1]];FALSE;0;0;0;[0];{0:"1",1:"1",2:"0",3:"0",4:"0",5:"0",6:"0",7:"0",8:"0",9:"0",10:"0",11:"0",12:"0",13:"0",14:"0",15:"0"}
0;16;0.125;0;0;[[0,1]];FALSE;0;0;0;[0];{0:"1",1:"1",2:"0",3:"0",4:"0",5:"0",6:"0",7:"0",8:"0",9:"0",10:"0",11:"0",12:"0",13:"0",14:"0",15:"0"}
0;16;0.125;0;0;[[0,1]];FALSE;0;0;0;[0];{0:"1",1:"1",2:"0",3:"0",4:"0",5:"0",6:"0",7:"0",8:"0",9:"0",10:"0",11:"0",12:"0",13:"0",14:"0",15:"0"}
0;16;0.125;0;0;[[0,1]];FALSE;0;0;0;[0];{0:"1",1:"1",2:"0",3:"0",4:"0",5:"0",6:"0",7:"0",8:"0",9:"0",10:"0",11:"0",12:"0",13:"0",14:"0",15:"0"}
0;16;0.125;0;0;[[0,1]];FALSE;0;0;0;[0];{0:"1",1:"1",2:"0",3:"0",4:"0",5:"0",6:"0",7:"0",8:"0",9:"0",10:"0",11:"0",12:"0",13:"0",14:"0",15:"0"}
0;16;0.125;0;0;[[0,1]];FALSE;0;0;0;[0];{0:"1",1:"1",2:"0",3:"0",4:"0",5:"0",6:"0",7:"0",8:"0",9:"0",10:"0",11:"0",12:"0",13:"0",14:"0",15:"0"}
0;16;0.125;0;0;[[0,1]];FALSE;0;0;0;[0];{0:"1",1:"1",2:"0",3:"0",4:"0",5:"0",6:"0",7:"0",8:"0",9:"0",10:"0",11:"0",12:"0",13:"0",14:"0",15:"0"}
0;16;0.125;0;0;[[0,1]];FALSE;0;0;0;[0];{0:"1",1:"1",2:"0",3:"0",4:"0",5:"0",6:"0",7:"0",8:"0",9:"0",10:"0",11:"0",12:"0",13:"0",14:"0",15:"0"}
0;16;0.125;0;0;[[0,1]];FALSE;0;0;0;[0];{0:"1",1:"1",2:"0",3:"0",4:"0",5:"0",6:"0",7:"0",8:"0",9:"0",10:"0",11:"0",12:"0",13:"0",14:"0",15:"0"}
0;16;0.125;0;0;[[0,1]];FALSE;0;0;0;[0];{0:"1",1:"1",2:"0",3:"0",4:"0",5:"0",6:"0",7:"0",8:"0",9:"0",10:"0",11:"0",12:"0",13:"0",14:"0",15:"0"}
0;16;0.125;0;0;[[0,1]];FALSE;0;0;0;[0];{0:"1",1:"1",2:"0",3:"0",4:"0",5:"0",6:"0",7:"0",8:"0",9:"0",10:"0",11:"0",12:"0",13:"0",14:"0",15:"0"}
0;16;0.125;0;0;[[0,1]];FALSE;0;0;0;[0];{0:"1",1:"1",2:"0",3:"0",4:"0",5:"0",6:"0",7:"0",8:"0",9:"0",10:"0",11:"0",12:"0",13:"0",14:"0",15:"0"}
0;16;0.125;0;0;[[0,1]];FALSE;0;0;0;[0];{0:"1",1:"1",2:"0",3:"0",4:"0",5:"0",6:"0",7:"0",8:"0",9:"0",10:"0",11:"0",12:"0",13:"0",14:"0",15:"0"}
0;16;0.125;0;0;[[0,1]];FALSE;0;0;0;[0];{0:"1",1:"1",2:"0",3:"0",4:"0",5:"0",6:"0",7:"0",8:"0",9:"0",10:"0",11:"0",12:"0",13:"0",14:"0",15:"0"}
0;16;0.125;0;0;[[0,1]];FALSE;0;0;0;[0];{0:"1",1:"1",2:"0",3:"0",4:"0",5:"0",6:"0",7:"0",8:"0",9:"0",10:"0",11:"0",12:"0",13:"0",14:"0",15:"0"}
0;16;0.125;0;0;[[0,1]];FALSE;0;0;0;[0];{0:"1",1:"1",2:"0",3:"0",4:"0",5:"0",6:"0",7:"0",8:"0",9:"0",10:"0",11:"0",12:"0",13:"0",14:"0",15:"0"}
0;16;0.125;0;0;[[0,1]];FALSE;0;0;0;[0];{0:"1",1:"1",2:"0",3:"0",4:"0",5:"0",6:"0",7:"0",8:"0",9:"0",10:"0",11:"0",12:"0",13:"0",14:"0",15:"0"}
0;16;0.125;0;0;[[0,1]];FALSE;0;0;0;[0];{0:"1",1:"1",2:"0",3:"0",4:"0",5:"0",6:"0",7:"0",8:"0",9:"0",10:"0",11:"0",12:"0",13:"0",14:"0",15:"0"}
0;16;0.125;0;0;[[0,1]];FALSE;0;0;0;[0];{0:"1",1:"1",2:"0",3:"0",4:"0",5:"0",6:"0",7:"0",8:"0",9:"0",10:"0",11:"0",12:"0",13:"0",14:"0",15:"0"}
0;16;0.125;0;0;[[0,1]];FALSE;0;0;0;[0];{0:"1",1:"1",2:"0",3:"0",4:"0",5:"0",6:"0",7:"0",8:"0",9:"0",10:"0",11:"0",12:"0",13:"0",14:"0",15:"0"}
8;16;0.25;0;0;[[0,3],[1,2]];FALSE;0;0;0;[0];{0:"1",1:"1",2:"1",3:"1",4:"0",5:"0",6:"0",7:"0",8:"0",9:"0",10:"0",11:"0",12:"0",13:"0",14:"0",15:"0"}
2;16;0.25;0;0;[[0,1],[2,3]];FALSE;0;0;0;[0];{0:"1",1:"1",2:"1",3:"1",4:"0",5:"0",6:"0",7:"0",8:"0",9:"0",10:"0",11:"0",12:"0",13:"0",14:"0",15:"0"}
8;16;0.25;0;0;[[0,3],[1,2]];FALSE;0;0;0;[0];{0:"1",1:"1",2:"1",3:"1",4:"0",5:"0",6:"0",7:"0",8:"0",9:"0",10:"0",11:"0",12:"0",13:"0",14:"0",15:"0"}
1;16;0.25;0;0;[[0,2],[1,3]];FALSE;0;0;0;[0];{0:"1",1:"1",2:"1",3:"1",4:"0",5:"0",6:"0",7:"0",8:"0",9:"0",10:"0",11:"0",12:"0",13:"0",14:"0",15:"0"}
1;16;0.25;0;0;[[0,2],[1,3]];FALSE;0;0;0;[0];{0:"1",1:"1",2:"1",3:"1",4:"0",5:"0",6:"0",7:"0",8:"0",9:"0",10:"0",11:"0",12:"0",13:"0",14:"0",15:"0"}
3;16;0.25;0.1875;0.433012702;[[2,0],[1,0]];FALSE;0;0;0;[0];{0:"2",1:"1",2:"1",3:"0",4:"0",5:"0",6:"0",7:"0",8:"0",9:"0",10:"0",11:"0",12:"0",13:"0",14:"0",15:"0"}
6;16;0.25;0;0;[[1,3],[0,2]];FALSE;0;0;0;[0];{0:"1",1:"1",2:"1",3:"1",4:"0",5:"0",6:"0",7:"0",8:"0",9:"0",10:"0",11:"0",12:"0",13:"0",14:"0",15:"0"}
6;16;0.25;0;0;[[1,3],[0,2]];FALSE;0;0;0;[0];{0:"1",1:"1",2:"1",3:"1",4:"0",5:"0",6:"0",7:"0",8:"0",9:"0",10:"0",11:"0",12:"0",13:"0",14:"0",15:"0"}
8;16;0.25;0;0;[[0,3],[1,2]];FALSE;0;0;0;[0];{0:"1",1:"1",2:"1",3:"1",4:"0",5:"0",6:"0",7:"0",8:"0",9:"0",10:"0",11:"0",12:"0",13:"0",14:"0",15:"0"}
2;16;0.25;0;0;[[0,1],[2,3]];FALSE;0;0;0;[0];{0:"1",1:"1",2:"1",3:"1",4:"0",5:"0",6:"0",7:"0",8:"0",9:"0",10:"0",11:"0",12:"0",13:"0",14:"0",15:"0"}
4;16;0.25;0;0;[[1,2],[0,3]];FALSE;0;0;0;[0];{0:"1",1:"1",2:"1",3:"1",4:"0",5:"0",6:"0",7:"0",8:"0",9:"0",10:"0",11:"0",12:"0",13:"0",14:"0",15:"0"}
9;16;0.25;0.1875;0.433012702;[[1,0],[0,2]];FALSE;0;0;0;[0];{0:"2",1:"1",2:"1",3:"0",4:"0",5:"0",6:"0",7:"0",8:"0",9:"0",10:"0",11:"0",12:"0",13:"0",14:"0",15:"0"}
4;16;0.25;0;0;[[1,2],[0,3]];FALSE;0;0;0;[0];{0:"1",1:"1",2:"1",3:"1",4:"0",5:"0",6:"0",7:"0",8:"0",9:"0",10:"0",11:"0",12:"0",13:"0",14:"0",15:"0"}
7;16;0.25;0;0;[[2,3],[0,1]];FALSE;0;0.001;0;[0];{0:"1",1:"1",2:"1",3:"1",4:"0",5:"0",6:"0",7:"0",8:"0",9:"0",10:"0",11:"0",12:"0",13:"0",14:"0",15:"0"}
3;16;0.25;0.1875;0.433012702;[[2,0],[1,0]];FALSE;0;0;0;[0];{0:"2",1:"1",2:"1",3:"0",4:"0",5:"0",6:"0",7:"0",8:"0",9:"0",10:"0",11:"0",12:"0",13:"0",14:"0",15:"0"}
5;16;0.25;0.1875;0.433012702;[[0,1],[0,2]];FALSE;0;0;0;[0];{0:"2",1:"1",2:"1",3:"0",4:"0",5:"0",6:"0",7:"0",8:"0",9:"0",10:"0",11:"0",12:"0",13:"0",14:"0",15:"0"}
4;16;0.25;0;0;[[1,2],[0,3]];FALSE;0;0;0;[0];{0:"1",1:"1",2:"1",3:"1",4:"0",5:"0",6:"0",7:"0",8:"0",9:"0",10:"0",11:"0",12:"0",13:"0",14:"0",15:"0"}
1;16;0.25;0;0;[[0,2],[1,3]];FALSE;0;0;0;[0];{0:"1",1:"1",2:"1",3:"1",4:"0",5:"0",6:"0",7:"0",8:"0",9:"0",10:"0",11:"0",12:"0",13:"0",14:"0",15:"0"}
2;16;0.25;0;0;[[0,1],[2,3]];FALSE;0;0;0;[0];{0:"1",1:"1",2:"1",3:"1",4:"0",5:"0",6:"0",7:"0",8:"0",9:"0",10:"0",11:"0",12:"0",13:"0",14:"0",15:"0"}
5;16;0.25;0.1875;0.433012702;[[0,1],[0,2]];FALSE;0;0;0;[0];{0:"2",1:"1",2:"1",3:"0",4:"0",5:"0",6:"0",7:"0",8:"0",9:"0",10:"0",11:"0",12:"0",13:"0",14:"0",15:"0"}
13;16;0.375;0.125;0.353553391;[[1,4],[0,2],[0,3]];FALSE;0;0;0;[0];{0:"2",1:"1",2:"1",3:"1",4:"1",5:"0",6:"0",7:"0",8:"0",9:"0",10:"0",11:"0",12:"0",13:"0",14:"0",15:"0"}
15;16;0.375;0;0;[[2,5],[1,4],[0,3]];FALSE;0;0;0;[0];{0:"1",1:"1",2:"1",3:"1",4:"1",5:"1",6:"0",7:"0",8:"0",9:"0",10:"0",11:"0",12:"0",13:"0",14:"0",15:"0"}
14;16;0.375;0.125;0.353553391;[[0,3],[1,4],[0,2]];FALSE;0;0;0;[0];{0:"2",1:"1",2:"1",3:"1",4:"1",5:"0",6:"0",7:"0",8:"0",9:"0",10:"0",11:"0",12:"0",13:"0",14:"0",15:"0"}
21;16;0.375;0;0;[[1,3],[0,2],[4,5]];FALSE;0;0;0;[0];{0:"1",1:"1",2:"1",3:"1",4:"1",5:"1",6:"0",7:"0",8:"0",9:"0",10:"0",11:"0",12:"0",13:"0",14:"0",15:"0"}
10;16;0.375;0;0;[[0,3],[1,2],[4,5]];FALSE;0;0;0;[0];{0:"1",1:"1",2:"1",3:"1",4:"1",5:"1",6:"0",7:"0",8:"0",9:"0",10:"0",11:"0",12:"0",13:"0",14:"0",15:"0"}
18;16;0.375;0.125;0.353553391;[[0,3],[1,0],[2,4]];FALSE;0;0;0;[0];{0:"2",1:"1",2:"1",3:"1",4:"1",5:"0",6:"0",7:"0",8:"0",9:"0",10:"0",11:"0",12:"0",13:"0",14:"0",15:"0"}
24;16;0.375;0.125;0.353553391;[[0,3],[1,2],[0,4]];FALSE;0;0;0;[0];{0:"2",1:"1",2:"1",3:"1",4:"1",5:"0",6:"0",7:"0",8:"0",9:"0",10:"0",11:"0",12:"0",13:"0",14:"0",15:"0"}
